Course Code,Course Name,Department,Credit,Total Credits,Faculty,Approved Time Slot
AE 202,Fluid Dynamics,Aerospace Engineering,3:0,3.0,Rishita Das,"Wed, Fri 14:00-15:30"
AE 203,Mechanics and Thermodynamics of Propulsion,Aerospace Engineering,3:0,3.0,Sivakumar D,"Tue, Thu 10:00-11:30"
AE 204A,Mechanics of Flight Vehicle Structures,Aerospace Engineering,3:0,3.0,Vivekanand Dabade,"Mon, Wed 10:00-11:30"
AE 205,"Navigation, Guidance and Control",Aerospace Engineering,3:0,3.0,Radhakant Padhi,"Mon, Wed, Fri 12:00-13:00"
AE 211,Mathematical Methods of Aerospace Engineers,Aerospace Engineering,3:0,3.0,Ramesh O N,"Tue, Thu 11:30-13:00"
AE 223A,Hypersonic Aerothermodynamics,Aerospace Engineering,3:0,3.0,Srisha Rao M V,"Mon, Wed, Fri 15:00-16:00"
AE 228,Computation of Viscous Flows,Aerospace Engineering,2:1,3.0,Balakrishnan N,"Tue, Thu 11:30-13:00"
AE 255,Aeroelasticity,Aerospace Engineering,3:0,3.0,Kartik Venkatraman,"Tue, Thu 11:30-13:00"
AE 261,Structural Vibration Control,Aerospace Engineering,3:0,3.0,Siddanagouda Kandagal,"Tue, Thu 11:30-13:00"
AE 296,Experimental Techniques in Aerospace Engineering,Aerospace Engineering,0:1,1.0,Siddanagouda Kandagal,"Tue, Thu 14:00-15:30"
AI 299o,MTech Dissertation Project,Artificial Intelligence Stream,0:27,27.0,Chandramani Kishore Singh,"Tue, Thu 15:30-17:00"
AS 203,Atmospheric Thermodynamics,Atmospheric and Oceanic Sciences,3:0,3.0,Arindam Chakraborty,"Mon, Wed, Fri 10:00-11:00"
AS 207,Introduction to Atmospheric Dynamics,Atmospheric and Oceanic Sciences,3:0,3.0,Jai Suhas Sukhatme,"Tue, Thu 10:00-11:30"
AS 215,Environmental Fluid Dynamics,Atmospheric and Oceanic Sciences,3:0,3.0,Bishakhdatta Gayen,"Tue, Thu 14:00-15:30"
AS 216,Introduction to climate system,Atmospheric and Oceanic Sciences,3:0,3.0,Govindasamy Bala,"Tue, Thu 11:30-13:00"
BC 203,General Biochemistry,Biochemistry,3:0,3.0,Payel Roy & Patrick D Silva & Debabrata Laha,"Mon, Wed, Fri 12:00-13:00"
BC 212,Essentials in Cell Biology,Biochemistry,3:0,3.0,Dipankar Nandi & Patrick D Silva,"Mon, Wed, Fri 09:00-10:00"
BC 306,Essentials in Immunology,Biochemistry,3:0,3.0,Dipankar Nandi & Payel Roy & Kesavardana Sannula,"Tue, Thu 11:30-13:00"
BE 203,Bioengineering Practicum 1,Biosystems Science and Engineering,0:1,1.0,Siddharth Jhunjhunwala,"Mon, Wed, Fri 08:00-09:00"
BE 204,Bioengineering Practicum 2,Biosystems Science and Engineering,0:1,1.0,Siddharth Jhunjhunwala,"Mon, Wed, Fri 08:00-09:00"
BE 206,Biology for Engineers,Biosystems Science and Engineering,3:0,3.0,Ajay Sanjay Tijore & Ramray Bhat,"Mon, Wed, Fri 12:00-13:00"
BE 207,Mathematical Methods for Bioengineers,Biosystems Science and Engineering,3:0,3.0,Bhaskara Rao Chintada,"Tue, Thu 10:00-11:30"
BE 210,Drug Delivery: Principles and Applications,Biosystems Science and Engineering,3:0,3.0,Rachit Agarwal,"Mon, Wed, Fri 11:00-12:00"
BE 213,Fundamentals of Bioengineering 1,Biosystems Science and Engineering,2:0,2.0,Mohit Kumar Jolly,"Tue, Thu 11:30-13:00"
BE 214,Fundamentals of Bioengineering 2,Biosystems Science and Engineering,2:0,2.0,Rachit Agarwal & Medhavi Vishwakarma,"Mon, Wed, Fri 10:00-11:00"
BE 215,Chemistry for Bioengineers,Biosystems Science and Engineering,3:0,3.0,Sanhita Sinharay,"Mon, Wed, Fri 15:00-16:00"
BE 302,Immunoengineering,Biosystems Science and Engineering,3:0,3.0,Siddharth Jhunjhunwala,"Mon, Wed, Fri 09:00-10:00"
CD 211,Physical Chemistry – I Quantum Chemistry and Group Theory,Division of Chemical Sciences,3:0,3.0,Abhishek Sirohiwal,"Tue, Thu 11:30-13:00"
CD 212,Inorganic Chemistry – Main group and coordination chemistry,Division of Chemical Sciences,3:0,3.0,Abhishake Mondal & Geetharani K,"Tue, Thu 10:00-11:30"
CD 213,Organic Chemistry – Structure and Reactivity,Division of Chemical Sciences,3:0,3.0,Garima Jindal & Santanu Mukherjee,"Mon, Wed, Fri 10:00-11:00"
CD 214,Basic Mathematics,Division of Chemical Sciences,3:0,3.0,Sai G Ramesh,"Mon, Wed, Fri 11:00-12:00"
CD 215,Organic & Inorganic Chemistry Laboratory,Division of Chemical Sciences,0:4,4.0,Abhishake Mondal & Partha Sarathi Mukherjee & Jayaraman N,"Mon, Tue, Wed, Thu 14:00-17:00 & Mon, Tue, Wed, Thu 26:00-29:00 & Mon, Tue, Wed, Thu 14:00-17:30"
CD 402,"Molecular Spectroscopy, Dynamics and Photochemistry",Division of Chemical Sciences,3:0,3.0,Soumen Ghosh,"Tue, Thu 11:30-13:00"
CE 201,Basic Geo-mechanics,Civil Engineering,3:0,3.0,Swetha Veeraraghavan,"Tue, Thu 10:00-11:30"
CE 203A,Hydrologic Safety Evaluation of Dams,Civil Engineering,3:0,3.0,Srinivas V V,"Tue, Thu 08:30-10:00"
CE 204,Solid Mechanics,Civil Engineering,3:0,3.0,Ananth Ramaswamy,"Mon, Wed, Fri 11:00-12:00"
CE 207A,Characterization of Bituminous Materials,Civil Engineering,3:0,3.0,Satyavati Komaragiri,"Tue, Thu 08:30-10:00"
CE 210A,Thermodynamic Modelling of Cementitious Systems,Civil Engineering,3:0,3.0,Keshav Bharadwaj Ravi,"Mon, Wed, Fri 14:00-15:00"
CE 211,Mathematics for Engineers,Civil Engineering,3:0,3.0,J M Chandra Kishen & Debraj Ghosh,"Mon, Wed, Fri 10:00-11:00"
CE 212A,"Stochastic dynamics, optimal transport and neural algorithms",Civil Engineering,3:0,3.0,Debasish Roy,"Mon, Wed, Fri 14:00-15:00"
CE 213A,Design for Dynamic and Fatigue Loadings,Civil Engineering,3:0,3.0,J M Chandra Kishen,"Tue, Thu 11:30-13:00"
